t,x,analytic,simulated
0.1,25.8,0.0104533,8.07345e-23
0.1,26.1,0.00991336,2.76905e-23
0.1,26.4,0.00940132,9.40684e-24
0.1,26.7,0.00891573,3.16533e-24
0.1,27,0.00845522,1.05506e-24
0.1,27.3,0.0080185,3.48373e-25
0.1,27.6,0.00760434,1.13956e-25
0.1,27.9,0.00721156,3.69303e-26
0.1,28.2,0.00683907,1.18577e-26
0.1,28.5,0.00648583,3.77232e-27
0.1,28.8,0.00615083,1.18914e-27
0.1,29.1,0.00583313,3.71442e-28
0.1,29.4,0.00553184,1.14976e-28
0.1,29.7,0.00524611,3.52695e-29
0.1,30,0.00497514,1.07223e-29
0.1,30.3,0.00471817,3.23069e-30
0.1,30.6,0.00447447,9.64808e-31
0.1,30.9,0.00424336,2.85591e-31
0.1,31.2,0.00402418,8.37964e-32
0.1,31.5,0.00381633,2.43727e-32
0.1,31.8,0.00361921,7.02749e-33
0.1,32.1,0.00343228,2.00878e-33
0.1,32.4,0.00325499,5.69272e-34
0.1,32.7,0.00308687,1.59949e-34
0.1,33,0.00292743,4.45592e-35
0.1,33.3,0.00277622,1.23085e-35
0.1,33.6,0.00263283,3.37135e-36
0.1,33.9,0.00249684,9.15694e-37
0.1,34.2,0.00236787,2.46641e-37
0.1,34.5,0.00224557,6.58815e-38
0.1,34.8,0.00212958,1.74528e-38
0.1,35.1,0.00201959,4.58551e-39
0.1,35.4,0.00191527,1.19495e-39
0.1,35.7,0.00181635,3.08862e-40
0.1,36,0.00172253,7.91868e-41
0.1,36.3,0.00163356,2.01387e-41
0.1,36.6,0.00154918,5.0806e-42
0.1,36.9,0.00146917,1.27152e-42
0.1,37.2,0.00139328,3.15696e-43
0.1,37.5,0.00132132,7.7763e-44
0.1,37.8,0.00125307,1.90042e-44
0.1,38.1,0.00118835,4.608e-45
0.1,38.4,0.00112697,1.10862e-45
0.1,38.7,0.00106876,2.64649e-46
0.1,39,0.00101356,6.26893e-47
0.1,39.3,0.000961204,1.47356e-47
0.1,39.6,0.000911556,3.43725e-48
0.1,39.9,0.000864473,7.95674e-49
0.1,40.2,0.000819822,1.82791e-49
0.1,40.5,0.000777477,4.16762e-50
0.1,40.8,0.00073732,9.43078e-51
0.1,41.1,0.000699236,2.11811e-51
0.1,41.4,0.00066312,4.72175e-52
0.1,41.7,0.000628869,1.04479e-52
0.1,42,0.000596387,2.29477e-53
0.1,42.3,0.000565583,5.00319e-54
0.1,42.6,0.00053637,1.08285e-54
0.1,42.9,0.000508665,2.32656e-55
0.1,43.2,0.000482392,4.96249e-56
0.1,43.5,0.000457476,1.05085e-56
0.1,43.8,0.000433847,2.20925e-57
0.1,44.1,0.000411438,4.61138e-58
0.1,44.4,0.000390187,9.55675e-59
0.1,44.7,0.000370033,1.96651e-59
0.1,45,0.00035092,4.01791e-60
0.1,45.3,0.000332795,8.15148e-61
0.1,45.6,0.000315606,1.64217e-61
0.1,45.9,0.000299304,3.28515e-62
0.1,46.2,0.000283845,6.52624e-63
0.1,46.5,0.000269184,1.28751e-63
0.1,46.8,0.00025528,2.52253e-64
0.1,47.1,0.000242095,4.90824e-65
0.1,47.4,0.00022959,9.48491e-66
0.1,47.7,0.000217731,1.82042e-66
0.1,48,0.000206485,3.47017e-67
0.1,48.3,0.00019582,6.57028e-68
0.1,48.6,0.000185706,1.23561e-68
0.1,48.9,0.000176114,2.30811e-69
0.1,49.2,0.000167017,4.28271e-70
0.1,49.5,0.000158391,7.89368e-71
0.1,49.8,0.00015021,1.44527e-71
0.1,50.1,0.000142451,2.62871e-72
0.1,50.4,0.000135093,4.7497e-73
0.1,50.7,0.000128115,8.52575e-74
0.1,51,0.000121498,1.52038e-74
0.1,51.3,0.000115223,2.69362e-75
0.1,51.6,0.000109271,4.74128e-76
0.1,51.9,0.000103627,8.29161e-77
0.1,52.2,9.82747e-05,1.44071e-77
0.1,52.5,9.31987e-05,2.48727e-78
0.1,52.8,8.83849e-05,4.2666e-79
0.1,53.1,8.38197e-05,7.27223e-80
0.1,53.4,7.94903e-05,1.23165e-80
0.1,53.7,7.53845e-05,2.07279e-81
0.1,54,7.14908e-05,3.46638e-82
0.1,54.3,6.77982e-05,5.76054e-83
0.1,54.6,6.42964e-05,9.51314e-84
0.1,54.9,6.09754e-05,1.56124e-84
0.1,55.2,5.78259e-05,2.54628e-85
0.1,55.5,5.48391e-05,4.12712e-86
0.1,55.8,5.20066e-05,6.64813e-87
0.1,56.1,4.93204e-05,1.06432e-87
0.1,56.4,4.67729e-05,1.69347e-88
0.1,56.7,4.43571e-05,2.67806e-89
0.1,57,4.2066e-05,4.2093e-90
0.1,57.3,3.98932e-05,6.57594e-91
0.1,57.6,3.78327e-05,1.02111e-91
0.1,57.9,3.58786e-05,1.57601e-92
0.1,58.2,3.40254e-05,2.41785e-93
0.1,58.5,3.22679e-05,3.68715e-94
0.1,58.8,3.06013e-05,5.58923e-95
0.1,59.1,2.90207e-05,8.42212e-96
0.1,59.4,2.75217e-05,1.26156e-96
0.1,59.7,2.61002e-05,1.87853e-97
0.1,60,2.47521e-05,2.78075e-98
0.1,60.3,2.34736e-05,4.0921e-99
0.1,60.6,2.22611e-05,5.98658e-100
0.1,60.9,2.11113e-05,8.70701e-101
0.1,61.2,2.00209e-05,1.259e-101
0.1,61.5,1.89868e-05,1.80989e-102
0.1,61.8,1.80061e-05,2.58678e-103
0.1,62.1,1.70761e-05,3.67582e-104
0.1,62.4,1.61941e-05,5.19332e-105
0.1,62.7,1.53576e-05,7.29524e-106
0.1,63,1.45644e-05,1.01893e-106
0.1,63.3,1.38121e-05,1.41503e-107
0.1,63.6,1.30987e-05,1.95395e-108
0.1,63.9,1.24221e-05,2.68283e-109
0.1,64.2,1.17805e-05,3.6628e-110
0.1,64.5,1.1172e-05,4.97255e-111
0.1,64.8,1.0595e-05,6.71273e-112
0.1,65.1,1.00477e-05,9.01115e-113
0.1,65.4,9.52876e-06,1.2029e-113
0.1,65.7,9.03659e-06,1.59681e-114
0.1,66,8.56984e-06,2.10794e-115
0.1,66.3,8.12719e-06,2.76727e-116
0.1,66.6,7.70741e-06,3.61277e-117
0.1,66.9,7.30932e-06,4.69062e-118
0.1,67.2,6.93178e-06,6.05661e-119
0.1,67.5,6.57374e-06,7.77756e-120
0.1,67.8,6.2342e-06,9.93295e-121
0.1,68.1,5.9122e-06,1.26166e-121
0.1,68.4,5.60682e-06,1.59382e-122
0.1,68.7,5.31723e-06,2.00252e-123
0.1,69,5.04258e-06,2.50242e-124
0.1,69.3,4.78213e-06,3.11027e-125
0.1,69.6,4.53512e-06,3.84499e-126
0.1,69.9,4.30088e-06,4.72779e-127
0.1,70.2,4.07873e-06,5.78218e-128
0.1,70.5,3.86806e-06,7.03401e-129
0.1,70.8,3.66827e-06,8.51133e-130
0.1,71.1,3.4788e-06,1.02443e-130
0.1,71.4,3.29912e-06,1.22648e-131
0.1,71.7,3.12871e-06,1.46063e-132
0.1,72,2.96711e-06,1.73033e-133
0.1,72.3,2.81386e-06,2.03905e-134
0.1,72.6,2.66852e-06,2.39026e-135
0.1,72.9,2.53068e-06,2.78732e-136
0.1,73.2,2.39997e-06,3.23339e-137
0.1,73.5,2.27601e-06,3.73133e-138
0.1,73.8,2.15845e-06,4.28361e-139
0.1,74.1,2.04696e-06,4.89217e-140
0.1,74.4,1.94124e-06,5.55834e-141
0.1,74.7,1.84097e-06,6.28268e-142
0.1,75,1.74588e-06,7.06492e-143
0.1,75.3,1.6557e-06,7.9038e-144
0.1,75.6,1.57018e-06,8.79706e-145
0.1,75.9,1.48908e-06,9.74129e-146
0.1,76.2,1.41217e-06,1.07319e-146
0.1,76.5,1.33923e-06,1.17633e-147
0.1,76.8,1.27006e-06,1.28283e-148
0.1,77.1,1.20446e-06,1.39191e-149
0.1,77.4,1.14224e-06,1.50263e-150
0.1,77.7,1.08325e-06,1.614e-151
0.1,78,1.02729e-06,1.72491e-152
0.1,78.3,9.74233e-07,1.8342e-153
0.1,78.6,9.23913e-07,1.94067e-154
0.1,78.9,8.76191e-07,2.04306e-155
0.1,79.2,8.30935e-07,2.14014e-156
0.1,79.5,7.88016e-07,2.2307e-157
0.1,79.8,7.47314e-07,2.31356e-158
0.1,80.1,7.08714e-07,2.38762e-159
0.1,80.4,6.72108e-07,2.45189e-160
0.1,80.7,6.37393e-07,2.50548e-161
0.1,81,6.04471e-07,2.54765e-162
0.1,81.3,5.73249e-07,2.57782e-163
0.1,81.6,5.4364e-07,2.59558e-164
0.1,81.9,5.1556e-07,2.60068e-165
0.1,82.2,4.88931e-07,2.59309e-166
0.1,82.5,4.63677e-07,2.57294e-167
0.1,82.8,4.39728e-07,2.54055e-168
0.1,83.1,4.17015e-07,2.49641e-169
0.1,83.4,3.95476e-07,2.44116e-170
0.1,83.7,3.75049e-07,2.37561e-171
0.1,84,3.55677e-07,2.30069e-172
0.1,84.3,3.37306e-07,2.21741e-173
0.1,84.6,3.19884e-07,2.12689e-174
0.1,84.9,3.03361e-07,2.03029e-175
0.1,85.2,2.87692e-07,1.92881e-176
0.1,85.5,2.72833e-07,1.82366e-177
0.1,85.8,2.5874e-07,1.71602e-178
0.1,86.1,2.45376e-07,1.60707e-179
0.1,86.4,2.32702e-07,1.49789e-180
0.1,86.7,2.20683e-07,1.38951e-181
0.1,87,2.09284e-07,1.28288e-182
0.1,87.3,1.98474e-07,1.17885e-183
0.1,87.6,1.88223e-07,1.07815e-184
0.1,87.9,1.78501e-07,9.81413e-186
0.1,88.2,1.69281e-07,8.89164e-187
0.1,88.5,1.60538e-07,8.01812e-188
0.1,88.8,1.52246e-07,7.1966e-189
0.1,89.1,1.44382e-07,6.4291e-190
0.1,89.4,1.36924e-07,5.71668e-191
0.1,89.7,1.29852e-07,5.05956e-192
0.1,90,1.23145e-07,4.45717e-193
0.1,90.3,1.16784e-07,3.90831e-194
0.1,90.6,1.10752e-07,3.41117e-195
0.1,90.9,1.05032e-07,2.96351e-196
0.1,91.2,9.96069e-08,2.56272e-197
0.1,91.5,9.44621e-08,2.20593e-198
0.1,91.8,8.9583e-08,1.89008e-199
0.1,92.1,8.49559e-08,1.61203e-200
0.1,92.4,8.05678e-08,1.36858e-201
0.1,92.7,7.64064e-08,1.15658e-202
0.1,93,7.24599e-08,9.72955e-204
0.1,93.3,6.87172e-08,8.14752e-205
0.1,93.6,6.51679e-08,6.79167e-206
0.1,93.9,6.18019e-08,5.63572e-207
0.1,94.2,5.86098e-08,4.65529e-208
0.1,94.5,5.55825e-08,3.828e-209
0.1,94.8,5.27116e-08,3.13348e-210
0.1,95.1,4.9989e-08,2.55339e-211
0.1,95.4,4.7407e-08,2.0713e-212
0.1,95.7,4.49583e-08,1.67267e-213
0.1,96,4.26362e-08,1.34468e-214
0.1,96.3,4.0434e-08,1.07615e-215
0.1,96.6,3.83455e-08,8.57387e-217
0.1,96.9,3.63649e-08,6.80036e-218
0.1,97.2,3.44866e-08,5.3696e-219
0.1,97.5,3.27053e-08,4.22093e-220
0.1,97.8,3.10161e-08,3.30321e-221
0.1,98.1,2.9414e-08,2.57351e-222
0.1,98.4,2.78948e-08,1.9961e-223
0.1,98.7,2.6454e-08,1.54137e-224
0.1,99,2.50876e-08,1.18495e-225
0.1,99.3,2.37918e-08,9.06893e-227
0.1,99.6,2.25629e-08,6.87101e-228
0.1,99.9,2.13975e-08,0
0.2,0,1,1
0.2,0.3,0.948349,0.921581
0.2,0.6,0.899365,0.846138
0.2,0.9,0.852912,0.773834
0.2,1.2,0.808858,0.704826
0.2,1.5,0.767079,0.639255
0.2,1.8,0.727459,0.577246
0.2,2.1,0.689885,0.518895
0.2,2.4,0.654251,0.464272
0.2,2.7,0.620458,0.413413
0.2,3,0.588411,0.366323
0.2,3.3,0.558019,0.32297
0.2,3.6,0.529196,0.283292
0.2,3.9,0.501862,0.247193
0.2,4.2,0.475941,0.21455
0.2,4.5,0.451358,0.185214
0.2,4.8,0.428044,0.159015
0.2,5.1,0.405935,0.135765
0.2,5.4,0.384968,0.115264
0.2,5.7,0.365084,0.097303
0.2,6,0.346227,0.0816694
0.2,6.3,0.328344,0.0681505
0.2,6.6,0.311385,0.056537
0.2,6.9,0.295301,0.0466261
0.2,7.2,0.280049,0.0382243
0.2,7.5,0.265584,0.031149
0.2,7.8,0.251866,0.0252306
0.2,8.1,0.238857,0.020313
0.2,8.4,0.22652,0.0162544
0.2,8.7,0.214819,0.0129271
0.2,9,0.203724,0.0102178
0.2,9.3,0.193201,0.00802648
0.2,9.6,0.183222,0.00626608
0.2,9.9,0.173758,0.00486138
0.2,10.2,0.164784,0.00374808
0.2,10.5,0.156272,0.00287167
0.2,10.8,0.148201,0.00218641
0.2,11.1,0.140546,0.00165421
0.2,11.4,0.133287,0.00124368
0.2,11.7,0.126402,0.000929141
0.2,12,0.119873,0.000689767
0.2,12.3,0.113682,0.000508825
0.2,12.6,0.10781,0.000372971
0.2,12.9,0.102241,0.000271657
0.2,13.2,0.0969604,0.000196609
0.2,13.5,0.0919523,0.00014139
0.2,13.8,0.0872028,0.000101034
0.2,14.1,0.0826987,7.17378e-05
0.2,14.4,0.0784272,5.06125e-05
0.2,14.7,0.0743763,3.54812e-05
0.2,15,0.0705347,2.47154e-05
0.2,15.3,0.0668915,1.71068e-05
0.2,15.6,0.0634365,1.17652e-05
0.2,15.9,0.0601599,8.04007e-06
0.2,16.2,0.0570526,5.4595e-06
0.2,16.5,0.0541057,3.68366e-06
0.2,16.8,0.0513111,2.46968e-06
0.2,17.1,0.0486608,1.64527e-06
0.2,17.4,0.0461474,1.08912e-06
0.2,17.7,0.0437638,7.16393e-07
0.2,18,0.0415034,4.68243e-07
0.2,18.3,0.0393597,3.04114e-07
0.2,18.6,0.0373267,1.96268e-07
0.2,18.9,0.0353987,1.25868e-07
0.2,19.2,0.0335703,8.02112e-08
0.2,19.5,0.0318364,5.0794e-08
0.2,19.8,0.030192,3.19632e-08
0.2,20.1,0.0286325,1.99873e-08
0.2,20.4,0.0271536,1.24201e-08
0.2,20.7,0.0257511,7.66953e-09
0.2,21,0.024421,4.7064e-09
0.2,21.3,0.0231597,2.87005e-09
0.2,21.6,0.0219634,1.7393e-09
0.2,21.9,0.020829,1.04749e-09
0.2,22.2,0.0197531,6.26926e-10
0.2,22.5,0.0187329,3.72891e-10
0.2,22.8,0.0177653,2.2042e-10
0.2,23.1,0.0168477,1.29487e-10
0.2,23.4,0.0159775,7.55988e-11
0.2,23.7,0.0151522,4.38653e-11
0.2,24,0.0143696,2.52958e-11
0.2,24.3,0.0136274,1.44979e-11
