threshold,cv,seed,readout_pos,prec_zone_width,time,num_threads
0.01,0.07,16,2.5,1.29117,1037.05,120
0.01,0.07,17,2.80909,1.48094,839.824,120
0.01,0.07,18,2.20606,1.30219,846.615,120
0.01,0.07,19,2.54242,1.63819,938.941,120
0.01,0.07,20,2.24545,1.23828,809.465,120
0.01,0.07,21,2.40909,1.20905,1076.38,120
0.01,0.07,22,2.49697,1.33143,1134.26,120
0.01,0.07,23,2.38182,1.06606,1210.08,120
0.01,0.07,24,2.37273,1.45052,1445.16,120
0.01,0.07,25,2.31515,1.46163,1012.25,120
0.01,0.07,26,2.37273,1.60021,956.528,120
0.01,0.07,27,2.30303,1.56991,1114.98,120
0.01,0.07,28,2.47576,1.28962,1170.01,120
0.01,0.07,29,2.35455,1.66937,957.965,120
0.01,0.07,30,2.45758,1.47884,842.164,120
0.01,0.07,31,2.49394,1.32263,982.105,120
0.01,0.07,32,2.4697,1.6333,978.598,120
0.01,0.07,33,2.39697,1.37549,910.295,120
0.01,0.07,34,2.48182,1.33375,1065.86,120
0.01,0.07,35,2.42121,1.36798,1093.88,120
0.01,0.07,36,2.43333,1.7344,1061.5,120
0.01,0.07,37,2.33333,1.35158,1141.72,120
0.01,0.07,38,2.55455,1.35466,1233.46,120
0.01,0.07,39,2.23636,1.27717,907.399,120
0.01,0.07,40,2.49091,1.32787,909.718,120
0.01,0.07,41,2.55152,1.35735,933.533,120
0.01,0.07,42,2.26061,1.32772,1154.13,120
0.01,0.07,43,2.20303,1.28094,1094.6,120
0.01,0.07,44,2.40909,1.50855,1117.31,120
0.01,0.07,45,2.46667,1.47861,1168.1,120
0.01,0.07,46,2.40606,1.49106,823.261,120
0.01,0.07,47,2.41515,1.53635,1016.74,120
0.01,0.07,48,2.22424,1.36834,886.729,120
0.01,0.07,49,2.34242,1.2695,924.39,120
0.01,0.07,50,2.2,30.9336,794.824,120
0.01,0.07,51,2.6,1.2687,806.405,120
0.01,0.07,52,2.2,1.66689,1054.95,120
0.01,0.07,53,2.39697,1.15799,824.622,120
0.01,0.07,54,2.3,1.39172,1141.67,120
0.01,0.07,55,2.43636,1.52301,813.912,120
0.01,0.07,56,2.40303,1.37375,1060.93,120
0.01,0.07,57,2.28485,1.55126,1097.21,120
0.01,0.07,58,2.47576,1.46925,814.156,120
0.01,0.07,59,2.4697,1.41035,981.797,120
0.01,0.07,60,2.30303,1.50775,1079.3,120
0.01,0.07,61,2.4303,1.50855,1054.45,120
0.01,0.07,62,2.30606,1.45093,1058.35,120
0.01,0.07,63,2.45455,1.1592,1430.6,120
0.01,0.07,64,2.33939,1.30084,1096.62,120
0.01,0.07,65,2.51818,1.44534,921.201,120
