thresh_cv,grad_cv,seed,readout_pos,time,num_threads
0.1,0.05,1,-3.75424,418.747,32
0.1,0.05,21,-3.70339,418.865,32
0.1,0.05,6,-3.70339,419.022,32
0.1,0.05,11,-3.70339,419.129,32
0.1,0.05,20,-3.74576,419.196,32
0.1,0.05,10,-3.79661,419.265,32
0.1,0.05,27,-3.70339,419.297,32
0.1,0.05,16,-3.69492,419.355,32
0.1,0.05,13,-3.65254,419.44,32
0.1,0.05,8,-3.74576,419.496,32
0.1,0.05,5,-3.74576,419.624,32
0.1,0.05,12,-3.70339,419.657,32
0.1,0.05,30,-3.70339,420.156,32
0.1,0.05,9,-3.73729,420.554,32
0.1,0.05,2,-3.74576,420.631,32
0.1,0.05,18,-3.69492,430.433,32
0.1,0.05,0,-3.70339,507.06,32
0.1,0.1,4,-3.69492,416.441,32
0.1,0.1,28,-3.70339,417.188,32
0.1,0.1,31,-3.69492,417.763,32
0.1,0.1,24,-3.70339,417.95,32
0.1,0.1,5,-3.65254,418.125,32
0.1,0.1,23,-3.77966,418.259,32
0.1,0.1,27,-3.70339,418.323,32
0.1,0.1,7,-3.70339,418.463,32
0.1,0.1,26,-3.74576,418.613,32
0.1,0.1,25,-3.70339,418.763,32
0.1,0.1,29,-3.70339,418.821,32
0.1,0.1,3,-3.75424,418.919,32
0.1,0.1,8,-3.69492,419.079,32
0.1,0.1,20,-3.70339,419.227,32
0.1,0.1,16,-3.74576,419.276,32
0.1,0.1,19,-3.61017,419.314,32
0.1,0.1,15,-3.73729,419.353,32
0.1,0.1,22,-3.65254,419.487,32
0.1,0.1,14,-3.65254,419.538,32
0.1,0.1,21,-3.79661,419.768,32
0.1,0.1,10,-3.70339,419.816,32
0.1,0.1,17,-3.70339,419.864,32
0.1,0.1,13,-3.75424,419.921,32
0.1,0.1,9,-3.74576,420.02,32
0.1,0.1,1,-3.70339,420.222,32
0.1,0.1,6,-3.79661,420.274,32
0.1,0.1,12,-3.79661,420.489,32
0.1,0.1,11,-3.70339,420.81,32
0.1,0.1,2,-3.74576,420.875,32
0.1,0.1,30,-3.77966,421.011,32
0.1,0.1,18,-3.73729,431,32
0.1,0.1,0,-3.65254,506.716,32
0.1,0.3,31,-3.77119,417.04,32
0.1,0.3,7,-3.97458,417.602,32
0.1,0.3,6,-4.13559,418.296,32
0.1,0.3,15,-3.98305,418.419,32
0.1,0.3,5,-4.18644,418.515,32
0.1,0.3,25,-3.83898,418.674,32
0.1,0.3,27,-3.83898,418.921,32
0.1,0.3,3,-3.61017,418.979,32
0.1,0.3,26,-3.82203,419.302,32
0.1,0.3,4,-4.0678,419.399,32
0.1,0.3,21,-3.87288,419.511,32
0.1,0.3,17,-3.83051,419.582,32
0.1,0.3,16,-3.84746,419.669,32
0.1,0.3,14,-3.77966,419.716,32
0.1,0.3,13,-4.12712,419.791,32
0.1,0.3,29,-3.80508,419.884,32
0.1,0.3,12,-3.97458,419.93,32
0.1,0.3,24,-3.84746,420.01,32
0.1,0.3,20,-3.88983,420.093,32
0.1,0.3,23,-3.88136,420.257,32
0.1,0.3,9,-3.66102,420.304,32
0.1,0.3,28,-3.91525,420.474,32
0.1,0.3,2,-4.00847,420.662,32
0.1,0.3,11,-3.74576,420.725,32
0.1,0.3,10,-3.88983,420.836,32
0.1,0.3,8,-4.00847,420.864,32
0.1,0.3,19,-3.79661,421.103,32
0.1,0.3,22,-3.88983,421.377,32
0.1,0.3,30,-3.9322,421.691,32
0.1,0.3,1,-4.00847,421.95,32
0.1,0.3,18,-3.91525,430.724,32
0.1,0.3,0,-3.73729,507.075,32
0.1,0.7,29,-4.48305,417.041,32
0.1,0.7,7,-4.50847,417.804,32
0.1,0.7,3,-4.60169,418.065,32
0.1,0.7,4,-4.88983,418.692,32
0.1,0.7,16,-4.27119,419.226,32
0.1,0.7,26,-4.91525,419.304,32
0.1,0.7,23,-4.17797,419.457,32
0.1,0.7,27,-4.71186,419.681,32
0.1,0.7,22,-5.33051,419.728,32
0.1,0.7,12,-4.72881,419.823,32
0.1,0.7,24,-4.65254,419.92,32
0.1,0.7,17,-5.42373,419.998,32
0.1,0.7,2,-5.0678,420.05,32
0.1,0.7,6,-4.55932,420.153,32
0.1,0.7,19,-4.83898,420.199,32
0.1,0.7,5,-4.65254,420.241,32
0.1,0.7,28,-4.86441,420.292,32
0.1,0.7,20,-4.24576,420.383,32
0.1,0.7,31,-5.44068,420.421,32
0.1,0.7,14,-4.70339,420.564,32
0.1,0.7,15,-4.72034,420.624,32
0.1,0.7,30,-4.98305,420.68,32
0.1,0.7,11,-4.65254,420.713,32
0.1,0.7,8,-5,420.857,32
0.1,0.7,10,-4.57627,421.085,32
0.1,0.7,25,-4.85593,421.216,32
0.1,0.7,13,-4.79661,421.463,32
0.1,0.7,9,-4.89831,421.503,32
0.1,0.7,21,-4.94068,421.654,32
0.1,0.7,1,-5.04237,421.795,32
0.1,0.7,18,-5.27966,432.013,32
0.1,0.7,0,-5.20339,504.905,32
0.1,1,3,-6.14407,415.43,32
0.1,1,24,-5.83898,416.449,32
0.1,1,19,-6.81356,416.853,32
0.1,1,25,-6.16102,416.994,32
0.1,1,27,-5.0339,417.361,32
0.1,1,31,-6.61864,417.438,32
0.1,1,29,-5.84746,417.879,32
0.1,1,6,-4.4322,417.953,32
0.1,1,10,-5.88136,418,32
0.1,1,4,-5.55085,418.101,32
0.1,1,23,-6.60169,418.148,32
0.1,1,5,-6.60169,418.213,32
0.1,1,15,-6.22881,418.339,32
0.1,1,26,-5.77966,418.44,32
0.1,1,8,-6.50847,418.546,32
0.1,1,7,-6.19492,418.771,32
0.1,1,28,-5.29661,418.81,32
0.1,1,11,-5.9661,418.99,32
0.1,1,30,-5.15254,419.035,32
0.1,1,14,-6.05085,419.071,32
0.1,1,2,-5.97458,419.13,32
0.1,1,16,-5.94915,419.176,32
0.1,1,1,-5.32203,419.229,32
0.1,1,13,-6.13559,419.307,32
0.1,1,21,-5.72881,419.395,32
0.1,1,20,-6.10169,419.444,32
0.1,1,12,-6.97458,419.46,32
0.1,1,22,-5.77119,419.549,32
0.1,1,17,-6.55085,419.603,32
0.1,1,9,-6.05932,419.836,32
0.1,1,18,-6.17797,429.967,32
0.1,1,0,-6.63559,510.845,32
0.3,0.01,5,-3.89831,417.074,32
0.3,0.01,24,-3.68644,417.292,32
0.3,0.01,27,-3.85593,417.778,32
0.3,0.01,20,-3.92373,417.871,32
0.3,0.01,25,-3.77119,417.91,32
0.3,0.01,3,-3.81356,418.105,32
0.3,0.01,10,-3.88136,418.159,32
0.3,0.01,4,-3.99153,418.247,32
0.3,0.01,6,-3.83051,418.373,32
0.3,0.01,22,-4.0678,418.425,32
0.3,0.01,29,-3.83051,418.474,32
0.3,0.01,17,-3.61864,418.523,32
0.3,0.01,15,-3.77119,418.601,32
0.3,0.01,7,-3.83051,418.621,32
0.3,0.01,28,-4.12712,418.673,32
0.3,0.01,12,-3.72034,418.736,32
0.3,0.01,31,-3.79661,418.786,32
0.3,0.01,23,-3.87288,418.856,32
0.3,0.01,2,-3.9661,418.894,32
0.3,0.01,30,-3.90678,419.022,32
0.3,0.01,16,-3.73729,419.205,32
0.3,0.01,19,-3.83051,419.329,32
0.3,0.01,1,-3.97458,419.372,32
0.3,0.01,26,-3.72034,419.648,32
0.3,0.01,14,-3.79661,419.729,32
0.3,0.01,8,-3.65254,419.803,32
0.3,0.01,9,-4.08475,420.249,32
0.3,0.01,11,-3.77119,420.388,32
0.3,0.01,21,-3.88136,420.465,32
0.3,0.01,13,-3.99153,420.636,32
0.3,0.01,18,-3.74576,429.926,32
0.3,0.01,0,-4.16102,507.469,32
0.3,0.05,3,-3.72881,415.943,32
0.3,0.05,17,-4.17797,416.223,32
0.3,0.05,25,-3.90678,416.335,32
0.3,0.05,15,-3.92373,416.452,32
0.3,0.05,4,-3.83898,416.684,32
0.3,0.05,9,-3.80508,416.773,32
0.3,0.05,7,-3.91525,417.138,32
0.3,0.05,5,-4.02542,417.201,32
0.3,0.05,20,-3.89831,417.31,32
0.3,0.05,27,-4.26271,417.36,32
0.3,0.05,14,-4.10169,417.411,32
0.3,0.05,19,-3.9322,417.46,32
0.3,0.05,22,-3.73729,417.51,32
0.3,0.05,28,-3.89831,417.612,32
0.3,0.05,21,-4.00847,417.779,32
0.3,0.05,23,-3.82203,417.848,32
0.3,0.05,6,-3.92373,417.893,32
0.3,0.05,29,-3.83898,417.904,32
0.3,0.05,10,-3.95763,417.98,32
0.3,0.05,2,-3.87288,418.074,32
0.3,0.05,31,-3.71186,418.27,32
0.3,0.05,8,-3.88983,418.411,32
0.3,0.05,16,-4.00847,418.442,32
0.3,0.05,30,-3.83898,418.479,32
0.3,0.05,11,-3.71186,418.531,32
0.3,0.05,26,-3.75424,418.596,32
0.3,0.05,24,-3.9661,418.688,32
0.3,0.05,12,-3.77119,418.735,32
0.3,0.05,1,-3.82203,418.95,32
0.3,0.05,13,-4.05085,419.142,32
0.3,0.05,18,-3.94915,428.786,32
0.3,0.05,0,-4.09322,505.876,32
0.3,0.1,20,-3.86441,417.252,32
0.3,0.1,27,-3.9661,417.406,32
0.3,0.1,3,-3.83051,417.513,32
0.3,0.1,21,-3.59322,417.562,32
0.3,0.1,14,-3.88983,417.687,32
0.3,0.1,30,-3.78814,417.86,32
0.3,0.1,22,-3.79661,418.025,32
0.3,0.1,7,-4.02542,418.116,32
0.3,0.1,16,-3.95763,418.179,32
0.3,0.1,5,-4.00847,418.256,32
0.3,0.1,1,-3.77966,418.365,32
0.3,0.1,17,-3.78814,418.444,32
0.3,0.1,24,-3.77966,418.538,32
0.3,0.1,26,-3.75424,418.759,32
0.3,0.1,9,-3.81356,418.807,32
0.3,0.1,2,-3.83898,418.964,32
0.3,0.1,15,-3.95763,419.043,32
0.3,0.1,25,-3.98305,419.084,32
0.3,0.1,19,-3.84746,419.126,32
0.3,0.1,31,-3.77966,419.178,32
0.3,0.1,23,-3.73729,419.212,32
0.3,0.1,13,-3.88983,419.251,32
0.3,0.1,10,-4,419.284,32
0.3,0.1,8,-3.97458,419.331,32
0.3,0.1,12,-3.91525,419.452,32
0.3,0.1,6,-3.76271,419.495,32
0.3,0.1,28,-3.77119,419.58,32
0.3,0.1,29,-3.97458,419.616,32
0.3,0.1,11,-3.82203,419.648,32
0.3,0.1,4,-4.04237,419.799,32
0.3,0.1,18,-3.9661,432.668,32
0.3,0.1,0,-3.80508,506.915,32
0.3,0.3,7,-3.98305,416.438,32
0.3,0.3,6,-4.27966,416.567,32
0.3,0.3,28,-4.0678,416.604,32
0.3,0.3,22,-3.62712,416.964,32
0.3,0.3,9,-3.66102,417.106,32
0.3,0.3,4,-4.05932,417.166,32
0.3,0.3,5,-3.84746,417.287,32
0.3,0.3,31,-4.16102,417.502,32
0.3,0.3,17,-4.18644,417.556,32
0.3,0.3,14,-3.83051,417.645,32
0.3,0.3,20,-3.9322,417.713,32
0.3,0.3,29,-3.82203,417.854,32
0.3,0.3,23,-4.01695,417.927,32
0.3,0.3,21,-3.82203,418.036,32
0.3,0.3,27,-3.86441,418.091,32
0.3,0.3,3,-4.04237,418.242,32
0.3,0.3,8,-4.04237,418.441,32
0.3,0.3,15,-4.20339,418.483,32
0.3,0.3,30,-4.0678,418.558,32
0.3,0.3,24,-3.9322,418.628,32
0.3,0.3,25,-3.90678,418.709,32
0.3,0.3,11,-3.72881,418.789,32
0.3,0.3,13,-3.92373,418.955,32
0.3,0.3,12,-3.77119,418.981,32
0.3,0.3,1,-3.78814,419.089,32
0.3,0.3,26,-3.81356,419.225,32
0.3,0.3,19,-3.68644,419.262,32
0.3,0.3,2,-4.00847,419.34,32
0.3,0.3,16,-3.92373,419.459,32
0.3,0.3,10,-4.16949,419.513,32
0.3,0.3,18,-4.05085,428.841,32
0.3,0.3,0,-3.92373,506.775,32
0.3,0.7,28,-4.83051,417.39,32
0.3,0.7,31,-5.04237,418.152,32
0.3,0.7,7,-4.94068,418.54,32
0.3,0.7,25,-4.97458,418.558,32
0.3,0.7,19,-4.94915,418.618,32
0.3,0.7,20,-5.00847,418.865,32
0.3,0.7,8,-4.90678,419.075,32
0.3,0.7,9,-4.61017,419.137,32
0.3,0.7,22,-4.5678,419.219,32
0.3,0.7,15,-5.31356,419.319,32
0.3,0.7,4,-4.16102,419.364,32
0.3,0.7,24,-4.70339,419.425,32
0.3,0.7,10,-4.67797,419.503,32
0.3,0.7,23,-4.69492,419.533,32
0.3,0.7,14,-4.44915,419.715,32
0.3,0.7,6,-5.16102,419.754,32
0.3,0.7,29,-4.5678,419.813,32
0.3,0.7,12,-4.34746,420.001,32
0.3,0.7,16,-5.16102,420.094,32
0.3,0.7,5,-4.29661,420.146,32
0.3,0.7,1,-4.94068,420.231,32
0.3,0.7,17,-4.84746,420.235,32
0.3,0.7,27,-4.81356,420.439,32
0.3,0.7,26,-4.5678,420.501,32
0.3,0.7,11,-4.81356,420.598,32
0.3,0.7,13,-4.67797,420.774,32
0.3,0.7,3,-4.5339,420.861,32
0.3,0.7,21,-4.81356,420.959,32
0.3,0.7,30,-4.83898,421.075,32
0.3,0.7,2,-5.33051,421.203,32
0.3,0.7,18,-4.69492,430.334,32
0.3,0.7,0,-5.38983,507.438,32
0.3,1,31,-5.5339,416.411,32
0.3,1,7,-5.81356,416.505,32
0.3,1,14,-6.05932,417.275,32
0.3,1,25,-6.27119,417.553,32
0.3,1,3,-5.47458,417.899,32
0.3,1,9,-5.42373,418.423,32
0.3,1,20,-6.11864,418.469,32
0.3,1,17,-5.94915,418.513,32
0.3,1,8,-4.74576,418.708,32
0.3,1,11,-5.99153,418.757,32
0.3,1,16,-5.63559,418.83,32
0.3,1,4,-5.05085,418.997,32
0.3,1,6,-5.63559,419.117,32
0.3,1,26,-5.36441,419.232,32
0.3,1,22,-5.22034,419.308,32
0.3,1,28,-5.23729,419.397,32
0.3,1,30,-6.40678,419.449,32
0.3,1,5,-5.19492,419.496,32
0.3,1,19,-5.27966,419.719,32
